"Country","Year","GDP_sum"
Chile,2016,121.66999999999999
Chile,2017,125.27846097946198
Chile,2018,113.10000000000002
Chile,2019,115.9
Chile,2020,109.69924929999998
Chile,2021,119.99999999999999
China,2015,89.012
China,2016,102.78
China,2017,108.116579055786
China,2018,98.9
China,2019,102.89999999999998
China,2020,99.0533412
China,2021,106.09999999999998
Colombia,2015,91.86100000000002
Colombia,2016,103.03199999999998
Colombia,2017,107.062232494354
Colombia,2018,96.0
Colombia,2019,98.49999999999999
Colombia,2020,93.220371
Colombia,2021,102.1
Comoros,2015,23.906
Comoros,2016,27.509
Comoros,2019,27.400000000000006
Comoros,2020,41.5620774
Comoros,2021,48.8
Congo (Brazzaville),2015,67.866
Congo (Brazzaville),2016,77.10900000000001
Congo (Brazzaville),2017,80.89642524719241
Congo (Brazzaville),2018,68.2
Congo (Brazzaville),2019,67.30000000000001
Congo (Brazzaville),2020,63.36167449999999
Congo (Brazzaville),2021,51.800000000000004
Congo (Kinshasa),2015,0.0
Congo (Kinshasa),2016,5.6610000000000005
Congo (Kinshasa),2017,9.210234880447391
Congo (Kinshasa),2018,6.9
Congo (Kinshasa),2019,9.4
Congo (Kinshasa),2020,6.2487468
Costa Rica,2015,95.578
Costa Rica,2016,106.87899999999999
Costa Rica,2017,110.97062826156599
Costa Rica,2018,101.0
Costa Rica,2019,103.4
Costa Rica,2020,98.1107712
Costa Rica,2021,113.39999999999999
Croatia,2015,108.254
Croatia,2016,118.64900000000002
Croatia,2017,122.255623340607
Croatia,2018,111.5
Croatia,2019,115.5
Croatia,2020,110.9024286
Croatia,2021,125.1
Cyprus,2015,120.813
Cyprus,2016,131.857
Cyprus,2017,135.593807697296
Cyprus,2018,122.90000000000002
Cyprus,2019,126.29999999999998
Cyprus,2020,121.27994299999999
Cyprus,2021,137.69999999999996
Czech Republic,2015,117.898
Czech Republic,2016,130.91500000000002
Czech Republic,2017,135.268235206604
Czech Republic,2018,123.30000000000001
Czech Republic,2019,126.89999999999998
Czech Republic,2020,121.23223540000001
Czech Republic,2021,137.0
Denmark,2015,132.548
Denmark,2016,144.178
Denmark,2017,148.23830127716099
Denmark,2018,135.1
Denmark,2019,138.3
Denmark,2020,132.6948524
Denmark,2021,150.2
Djibouti,2015,44.025
Dominican Republic,2015,89.537
Dominican Republic,2016,102.787
Dominican Republic,2017,107.93738365173299
Dominican Republic,2018,98.19999999999999
Dominican Republic,2019,101.49999999999999
Dominican Republic,2020,98.3191848
Dominican Republic,2021,110.60000000000001
Ecuador,2015,86.402
Ecuador,2016,97.306
Ecuador,2017,100.08203983306899
Ecuador,2018,88.9
Ecuador,2019,91.19999999999999
Ecuador,2020,85.3383601
Ecuador,2021,93.5
Egypt,2015,88.18
Egypt,2016,95.39499999999998
Egypt,2017,98.97018074989319
Egypt,2018,88.5
Egypt,2019,91.3
Egypt,2020,87.5228941
Egypt,2021,95.39999999999998
El Salvador,2015,76.454
El Salvador,2016,87.37
El Salvador,2017,90.9784495830536
El Salvador,2018,80.60000000000001
El Salvador,2019,79.4
El Salvador,2020,74.8940408
El Salvador,2021,84.5
Estonia,2015,115.174
Estonia,2016,127.964
Estonia,2017,132.08793401718097
Estonia,2018,120.0
Estonia,2019,123.7
Estonia,2020,119.2441225
Estonia,2021,134.4
Ethiopia,2015,19.073000000000004
Ethiopia,2016,29.282999999999998
Ethiopia,2017,33.923384547233596
Ethiopia,2018,30.8
Ethiopia,2019,33.599999999999994
Ethiopia,2020,31.5125644
Ethiopia,2021,37.0
Finland,2015,129.02499999999998
Finland,2016,140.598
Finland,2017,144.357192516327
Finland,2018,130.5
Finland,2019,134.0
Finland,2020,128.5189509
Finland,2021,144.6
France,2015,127.77799999999999
France,2016,139.488
France,2017,143.09234619140602
France,2018,129.29999999999998
France,2019,132.4
France,2020,126.81293490000002
France,2021,142.1
Gabon,2015,106.02400000000002
Gabon,2016,115.85099999999998
Gabon,2017,119.82102394104
Gabon,2018,103.60000000000001
Gabon,2019,105.69999999999999
Gabon,2020,98.8044381
Gabon,2021,103.69999999999999
Gambia,2019,30.8
Gambia,2020,25.6990552
Gambia,2021,36.7
Georgia,2015,74.19
Georgia,2016,83.792
Georgia,2017,95.0612664222717
Georgia,2018,85.3
Georgia,2019,88.6
Georgia,2020,84.7198069
Georgia,2021,103.0
Germany,2015,132.792
Germany,2016,144.787
Germany,2017,148.792338371277
Germany,2018,134.0
Germany,2019,137.3
Germany,2020,131.4184546
Germany,2021,148.0
Ghana,2015,54.55799999999999
Ghana,2016,63.107
Ghana,2017,66.7224824428558
Ghana,2018,59.2
Ghana,2019,61.1
Ghana,2020,57.58624669999999
Ghana,2021,68.0
Greece,2015,115.40599999999999
Greece,2016,124.88600000000001
Greece,2017,128.948748111725
Greece,2018,115.39999999999998
Greece,2019,118.1
Greece,2020,112.8070116
Greece,2021,127.29999999999998
Guatemala,2015,74.553
Guatemala,2016,83.454
Guatemala,2017,87.2001945972443
Guatemala,2018,78.10000000000001
Guatemala,2019,80.0
Guatemala,2020,75.3815711
Guatemala,2021,84.5
Guinea,2015,17.416999999999994
Guinea,2016,22.415
Guinea,2017,24.454993009567296
Guinea,2018,34.39999999999999
Guinea,2019,37.99999999999999
Guinea,2020,39.0007734
Guinea,2021,41.99999999999999
Haiti,2015,26.673000000000005
Haiti,2016,34.097
Haiti,2017,36.8610262870789
Haiti,2018,31.5
Haiti,2019,32.300000000000004
Haiti,2020,28.473442799999997
Haiti,2021,29.399999999999995
Honduras,2015,59.53199999999999
Honduras,2016,69.42899999999999
Honduras,2017,73.0573117733002
Honduras,2018,62.0
