"Country","Year","Avg_score"
Chile,2015,6.669999999999999
Chile,2016,6.705000000000001
Chile,2017,6.65199995040894
Chile,2018,6.475999999999999
Chile,2019,6.443999999999999
Chile,2020,6.228499889
Chile,2021,6.172000000000001
China,2015,5.14
China,2016,5.245
China,2017,5.27299976348877
China,2018,5.246
China,2019,5.191
China,2020,5.123899937
China,2021,5.3389999999999995
Colombia,2015,6.477000000000001
Colombia,2016,6.481000000000001
Colombia,2017,6.356999874114991
Colombia,2018,6.26
Colombia,2019,6.124999999999999
Colombia,2020,6.163400173000001
Colombia,2021,6.0120000000000005
Comoros,2015,3.9560000000000004
Comoros,2016,3.9559999999999995
Comoros,2019,3.9729999999999994
Comoros,2020,4.288599968
Comoros,2021,4.289
Congo (Brazzaville),2015,3.9889999999999994
Congo (Brazzaville),2016,4.236
Congo (Brazzaville),2017,4.29099988937378
Congo (Brazzaville),2018,4.559
Congo (Brazzaville),2019,4.812
Congo (Brazzaville),2020,5.194399834
Congo (Brazzaville),2021,5.342
Congo (Kinshasa),2015,4.517
Congo (Kinshasa),2016,4.272
Congo (Kinshasa),2017,4.2800002098083505
Congo (Kinshasa),2018,4.245
Congo (Kinshasa),2019,4.417999999999999
Congo (Kinshasa),2020,4.310999869999999
Costa Rica,2015,7.226000000000001
Costa Rica,2016,7.086999999999999
Costa Rica,2017,7.0789999961853
Costa Rica,2018,7.072
Costa Rica,2019,7.167000000000001
Costa Rica,2020,7.121399878999999
Costa Rica,2021,7.069
Croatia,2015,5.759000000000001
Croatia,2016,5.488
Croatia,2017,5.29300022125244
Croatia,2018,5.321
Croatia,2019,5.432000000000001
Croatia,2020,5.504700184
Croatia,2021,5.881999999999998
Cyprus,2015,5.689
Cyprus,2016,5.545999999999999
Cyprus,2017,5.62099981307983
Cyprus,2018,5.762
Cyprus,2019,6.046000000000001
Cyprus,2020,6.15899992
Cyprus,2021,6.223
Czech Republic,2015,6.505
Czech Republic,2016,6.596
Czech Republic,2017,6.60900020599365
Czech Republic,2018,6.711
Czech Republic,2019,6.852000000000001
Czech Republic,2020,6.910900116
Czech Republic,2021,6.964999999999999
Denmark,2015,7.527
Denmark,2016,7.525999999999999
Denmark,2017,7.52199983596802
Denmark,2018,7.555
